Site,Date,device_number,PM25_CinC,PM25_EPA_FRM
0034,2025-01-31,2,10.514714285714286,7
0034,2025-01-31,20,7.006238095238095,7
0034,2025-01-31,24,7.162023809523809,7
0034,2025-01-31,3,6.285886363636364,7
0034,2025-02-03,2,33.70593103448276,13.8
0034,2025-02-03,20,30.24614,13.8
0034,2025-02-03,24,12.65895238095238,13.8
0034,2025-02-03,3,17.15096,13.8
0034,2025-02-06,2,15.634882352941178,7.7
0034,2025-02-06,20,12.779311111111113,7.7
0034,2025-02-06,24,14.3575,7.7
0034,2025-02-06,3,13.525302325581395,7.7
0034,2025-02-09,15,11.384142857142857,7.2
0034,2025-02-09,2,16.251405405405404,7.2
0034,2025-02-09,20,17.001666666666665,7.2
0034,2025-02-09,24,12.240225806451612,7.2
0034,2025-02-09,3,14.169979591836734,7.2
0034,2025-02-12,15,23.15672222222222,14.6
0034,2025-02-12,2,24.001823529411766,14.6
0034,2025-02-12,20,23.128509433962265,14.6
0034,2025-02-12,24,22.94681818181818,14.6
0034,2025-02-12,3,21.887673469387757,14.6
0034,2025-02-15,15,9.877470588235294,8.9
0034,2025-02-15,2,11.943738095238094,8.9
0034,2025-02-15,20,10.978923076923078,8.9
0034,2025-02-15,24,11.583257142857143,8.9
0034,2025-02-15,3,10.33834693877551,8.9
0034,2025-02-18,15,2.8171923076923076,3.7
0034,2025-02-18,2,2.960816326530612,3.7
0034,2025-02-18,20,3.893148148148148,3.7
0034,2025-02-18,24,3.133938775510204,3.7
0034,2025-02-18,3,2.9829795918367346,3.7
0034,2025-02-21,15,3.1071851851851853,4.4
0034,2025-02-21,2,2.930125,4.4
0034,2025-02-21,20,3.9215094339622643,4.4
0034,2025-02-21,24,2.6153846153846154,4.4
0034,2025-02-21,3,2.826734693877551,4.4
0034,2025-02-24,15,8.129888888888889,9.5
0034,2025-02-24,2,11.258970588235293,9.5
0034,2025-02-24,20,11.414411764705882,9.5
0034,2025-02-24,24,10.664529411764706,9.5
0034,2025-02-24,3,12.3615,9.5
0034,2025-02-27,15,24.233999999999998,12.7
0034,2025-02-27,2,47.318636363636365,12.7
0034,2025-02-27,20,26.81470588235294,12.7
0034,2025-02-27,24,36.9614,12.7
0034,2025-02-27,3,30.135268292682927,12.7
0034,2025-03-02,11,2.417866666666667,2.9
0034,2025-03-02,15,2.9751935483870966,2.9
