epa_site,cleancle_device,latitude.x,longitude.x,location_name,device_eui,latitude.y,longitude.y,distance_km
0045,27,41.471782,-81.656792,East 30th and Perkins,0004A30B00080E82,41.50541,-81.66791,3.8565478640068824
0060,27,41.492117,-81.678449,East 30th and Perkins,0004A30B00080E82,41.50541,-81.66791,1.720991887241103
0065,27,41.446624,-81.662356,East 30th and Perkins,0004A30B00080E82,41.50541,-81.66791,6.560402149319933
0034,12,41.55523,-81.575256,Lakeview Terrace Community Center,0004A30B00085A7A,41.49409,-81.70976,13.114181355188999
0038,12,41.477011,-81.682383,Lakeview Terrace Community Center,0004A30B00085A7A,41.49409,-81.70976,2.971001129835699
0045,12,41.471782,-81.656792,Lakeview Terrace Community Center,0004A30B00085A7A,41.49409,-81.70976,5.067469912533651
0060,12,41.492117,-81.678449,Lakeview Terrace Community Center,0004A30B00085A7A,41.49409,-81.70976,2.6200036313897552
0065,12,41.446624,-81.662356,Lakeview Terrace Community Center,0004A30B00085A7A,41.49409,-81.70976,6.5995401616396245
0034,1,41.55523,-81.575256,Fleet Ave. and East 71st St.,0004A30B00083D5D,41.456319,-81.639257,12.23534109871048
0038,1,41.477011,-81.682383,Fleet Ave. and East 71st St.,0004A30B00083D5D,41.456319,-81.639257,4.27166428000506
0045,1,41.471782,-81.656792,Fleet Ave. and East 71st St.,0004A30B00083D5D,41.456319,-81.639257,2.258907849258108
0060,1,41.492117,-81.678449,Fleet Ave. and East 71st St.,0004A30B00083D5D,41.456319,-81.639257,5.154207292394912
0065,1,41.446624,-81.662356,Fleet Ave. and East 71st St.,0004A30B00083D5D,41.456319,-81.639257,2.208888282897282
0034,19,41.55523,-81.575256,Mound Elementary,0004A30B000838D0,41.462862,-81.647249,11.905645754774381
0038,19,41.477011,-81.682383,Mound Elementary,0004A30B000838D0,41.462862,-81.647249,3.3270444524752425
0045,19,41.471782,-81.656792,Mound Elementary,0004A30B000838D0,41.462862,-81.647249,1.272657973243841
0060,19,41.492117,-81.678449,Mound Elementary,0004A30B000838D0,41.462862,-81.647249,4.168570560549301
0065,19,41.446624,-81.662356,Mound Elementary,0004A30B000838D0,41.462862,-81.647249,2.2036448065958965
