location_name,latitude,longitude,device_number,device_eui,time,measure_name,value
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T00:37:11Z,mc_pm2_5,5.544
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T00:23:58Z,mc_pm2_5,5.544
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-22T23:53:57Z,mc_pm2_5,4.294
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-22T23:23:58Z,mc_pm2_5,4.859
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-22T22:23:57Z,mc_pm2_5,4.962
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-22T21:23:54Z,mc_pm2_5,3.269
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T16:02:51Z,mc_pm2_5,4.115
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T15:32:51Z,mc_pm2_5,5.854
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T15:02:51Z,mc_pm2_5,2.722
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T14:32:45Z,mc_pm2_5,2.722
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T14:05:23Z,mc_pm2_5,2.722
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T14:02:59Z,mc_pm2_5,2.722
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T13:32:59Z,mc_pm2_5,2.722
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T13:02:59Z,mc_pm2_5,2.722
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T12:32:59Z,mc_pm2_5,2.722
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-22T12:02:59Z,mc_pm2_5,2.722
