"device_number","time","value"
3,2025-01-14 10:10:14.378,3.873
9,2025-01-14 10:09:55.257,5.028
23,2025-01-14 10:09:00.535,2.76
13,2025-01-14 10:07:34.973,4.432
28,2025-01-14 10:04:14.226,3.406
21,2025-01-14 10:03:42.415,4.644
25,2025-01-14 09:58:29.852,3.768
25,2025-01-14 09:57:04.523,6.544
27,2025-01-14 09:54:11.823,6.334
30,2025-01-14 09:52:29.262,3.644
12,2025-01-14 09:52:26.253,6.622
20,2025-01-14 09:50:02.498,9.072
23,2025-01-14 09:48:19.652,3.907
20,2025-01-14 09:42:32.784,5.177
18,2025-01-14 09:42:17.663,2.177
24,2025-01-14 09:41:54.884,3.663
3,2025-01-14 09:40:13.932,5.92
9,2025-01-14 09:39:55.253,1.293
23,2025-01-14 09:39:09.141,3.907
13,2025-01-14 09:37:34.872,4.536
2,2025-01-14 09:36:45.036,3.185
1,2025-01-14 09:36:05.9,5.117
28,2025-01-14 09:34:14.162,14.383
21,2025-01-14 09:33:42.318,12.882
8,2025-01-14 09:33:36.848,2.875
25,2025-01-14 09:28:29.813,6.544
13,2025-01-14 09:27:15.629,3.808
27,2025-01-14 09:24:18.729,5.648
2,2025-01-14 09:23:04.115,3.062
12,2025-01-14 09:22:26.221,4.334
20,2025-01-14 09:20:02.484,5.177
30,2025-01-14 09:17:22.566,4.013
15,2025-01-14 09:16:05.154,2.924
18,2025-01-14 09:12:17.611,6.034
24,2025-01-14 09:11:54.852,6.322
30,2025-01-14 09:10:27.075,4.013
3,2025-01-14 09:10:14.193,6.044
9,2025-01-14 09:09:55.208,3.309
23,2025-01-14 09:09:09.058,2.63
13,2025-01-14 09:07:34.755,3.808
2,2025-01-14 09:06:45.097,3.062
1,2025-01-14 09:06:05.798,7.604
28,2025-01-14 09:04:14.079,2.078
21,2025-01-14 09:03:42.222,2.335
8,2025-01-14 09:03:36.809,2.901
25,2025-01-14 08:58:29.787,9.262
27,2025-01-14 08:54:11.732,6.231
12,2025-01-14 08:52:26.205,4.554
30,2025-01-14 08:49:26.296,4.694
7,2025-01-14 08:46:48.503,12.011
15,2025-01-14 08:46:05.173,7.038
18,2025-01-14 08:42:17.544,4.325
24,2025-01-14 08:41:54.839,4.159
3,2025-01-14 08:40:13.837,3.225
9,2025-01-14 08:39:55.124,1.299
23,2025-01-14 08:39:09.003,1.353
30,2025-01-14 08:38:56.757,1.361
13,2025-01-14 08:37:34.651,3.012
2,2025-01-14 08:36:45.128,1.806
1,2025-01-14 08:36:05.882,5.693
28,2025-01-14 08:34:21.021,6.417
21,2025-01-14 08:33:42.132,5.755
28,2025-01-14 08:30:09.601,9.717
25,2025-01-14 08:28:29.714,3.359
30,2025-01-14 08:28:26.856,1.645
27,2025-01-14 08:27:56.365,2.141
27,2025-01-14 08:24:11.654,2.141
12,2025-01-14 08:22:26.164,5.435
20,2025-01-14 08:20:02.404,2.411
30,2025-01-14 08:17:56.98,2.594
15,2025-01-14 08:16:05.136,1.611
30,2025-01-14 08:14:35.313,5.278
18,2025-01-14 08:12:17.496,6.183
24,2025-01-14 08:11:54.817,2.01
3,2025-01-14 08:10:13.8,3.63
9,2025-01-14 08:09:55.121,3.202
23,2025-01-14 08:09:08.919,4.686
13,2025-01-14 08:07:34.511,3.876
30,2025-01-14 08:07:26.583,5.278
2,2025-01-14 08:06:45.095,1.374
30,2025-01-14 08:05:44.934,5.04
8,2025-01-14 08:03:36.77,2.301
25,2025-01-14 07:58:29.746,6.043
30,2025-01-14 07:56:56.214,5.04
27,2025-01-14 07:54:11.67,4.172
12,2025-01-14 07:52:26.099,1.784
20,2025-01-14 07:50:02.418,5.22
7,2025-01-14 07:46:48.491,3.348
30,2025-01-14 07:46:25.078,4.265
15,2025-01-14 07:46:05.141,6.174
18,2025-01-14 07:43:01.844,6.668
18,2025-01-14 07:42:17.433,6.668
24,2025-01-14 07:41:54.801,2.54
3,2025-01-14 07:40:13.478,1.657
9,2025-01-14 07:39:55.063,1.619
23,2025-01-14 07:39:08.909,11.981
13,2025-01-14 07:37:34.443,5.281
2,2025-01-14 07:36:51.642,1.737
30,2025-01-14 07:35:56.317,3.092
28,2025-01-14 07:34:13.881,3.411
21,2025-01-14 07:33:42.106,7.895
25,2025-01-14 07:28:29.668,1.863
27,2025-01-14 07:24:11.601,4.233
30,2025-01-14 07:23:52.488,1.952
12,2025-01-14 07:22:26.115,6.245
20,2025-01-14 07:20:02.382,4.798
24,2025-01-14 07:19:09.212,4.087
15,2025-01-14 07:16:05.112,3.053
30,2025-01-14 07:14:55.457,1.952
18,2025-01-14 07:12:17.391,3.06
24,2025-01-14 07:11:54.353,4.087
3,2025-01-14 07:10:13.744,3.018
9,2025-01-14 07:09:55.11,1.637
23,2025-01-14 07:09:08.803,1.386
13,2025-01-14 07:07:34.363,7.156
2,2025-01-14 07:06:44.696,2.877
21,2025-01-14 07:06:10.854,6.14
28,2025-01-14 07:04:13.816,2.254
25,2025-01-14 06:58:29.666,1.387
27,2025-01-14 06:54:11.576,1.405
30,2025-01-14 06:53:56.863,4.021
12,2025-01-14 06:52:26.053,2.506
12,2025-01-14 06:51:04.737,3.863
20,2025-01-14 06:50:02.526,2.682
30,2025-01-14 06:48:51.72,2.712
7,2025-01-14 06:46:48.367,1.737
15,2025-01-14 06:46:05.072,4.448
30,2025-01-14 06:43:26.787,2.712
18,2025-01-14 06:42:17.322,1.069
3,2025-01-14 06:40:13.731,1.833
9,2025-01-14 06:39:55.038,2.504
23,2025-01-14 06:39:08.738,1.609
20,2025-01-14 06:37:47.451,2.324
13,2025-01-14 06:37:34.244,6.491
23,2025-01-14 06:37:09.862,5.413
2,2025-01-14 06:36:44.699,3.568
28,2025-01-14 06:34:13.74,7.558
21,2025-01-14 06:33:42.032,4.572
30,2025-01-14 06:32:56.845,2.938
25,2025-01-14 06:29:36.802,2.185
30,2025-01-14 06:22:26.497,3.92
12,2025-01-14 06:22:26.068,3.863
30,2025-01-14 06:20:12.823,1.883
13,2025-01-14 06:20:08.474,9.474
7,2025-01-14 06:16:48.359,2.732
18,2025-01-14 06:12:17.276,2.948
30,2025-01-14 06:11:55.014,1.883
