device,date,location_name,latitude,longitude,pm25_24hr_avg
24,2024-12-11,East 152nd and Darwin,41.564906,-81.579597,31.14598039215686
24,2024-12-12,East 152nd and Darwin,41.564906,-81.579597,6.55044
24,2024-12-13,East 152nd and Darwin,41.564906,-81.579597,4.854903846153846
24,2024-12-14,East 152nd and Darwin,41.564906,-81.579597,7.226537037037037
24,2024-12-15,East 152nd and Darwin,41.564906,-81.579597,9.840103448275862
24,2024-12-16,East 152nd and Darwin,41.564906,-81.579597,13.45080487804878
24,2024-12-17,East 152nd and Darwin,41.564906,-81.579597,13.3556
24,2024-12-18,East 152nd and Darwin,41.564906,-81.579597,40.57092452830189
24,2024-12-19,East 152nd and Darwin,41.564906,-81.579597,8.082187500000002
24,2024-12-20,East 152nd and Darwin,41.564906,-81.579597,15.31556603773585
24,2024-12-21,East 152nd and Darwin,41.564906,-81.579597,2.1185384615384617
24,2024-12-22,East 152nd and Darwin,41.564906,-81.579597,2.3445961538461537
24,2024-12-23,East 152nd and Darwin,41.564906,-81.579597,5.616163265306122
24,2024-12-24,East 152nd and Darwin,41.564906,-81.579597,23.719125000000002
24,2024-12-25,East 152nd and Darwin,41.564906,-81.579597,23.015285714285714
24,2024-12-26,East 152nd and Darwin,41.564906,-81.579597,12.142226415094338
24,2024-12-27,East 152nd and Darwin,41.564906,-81.579597,10.728375
24,2024-12-28,East 152nd and Darwin,41.564906,-81.579597,5.047326530612245
24,2024-12-29,East 152nd and Darwin,41.564906,-81.579597,10.143652173913043
24,2024-12-30,East 152nd and Darwin,41.564906,-81.579597,4.0524130434782615
24,2024-12-31,East 152nd and Darwin,41.564906,-81.579597,8.84790243902439
24,2025-01-01,East 152nd and Darwin,41.564906,-81.579597,7.078888888888889
24,2025-01-02,East 152nd and Darwin,41.564906,-81.579597,9.71643137254902
24,2025-01-03,East 152nd and Darwin,41.564906,-81.579597,9.868584905660377
24,2025-01-04,East 152nd and Darwin,41.564906,-81.579597,2.1526428571428573
24,2025-01-05,East 152nd and Darwin,41.564906,-81.579597,7.310254545454545
24,2025-01-06,East 152nd and Darwin,41.564906,-81.579597,7.012945454545454
24,2025-01-07,East 152nd and Darwin,41.564906,-81.579597,2.16978
24,2025-01-08,East 152nd and Darwin,41.564906,-81.579597,2.349666666666667
24,2025-01-09,East 152nd and Darwin,41.564906,-81.579597,2.428730769230769
24,2025-01-10,East 152nd and Darwin,41.564906,-81.579597,11.479462962962964
24,2025-01-11,East 152nd and Darwin,41.564906,-81.579597,30.590537037037034
24,2025-01-12,East 152nd and Darwin,41.564906,-81.579597,22.745584905660376
24,2025-01-13,East 152nd and Darwin,41.564906,-81.579597,7.409960784313726
24,2025-01-14,East 152nd and Darwin,41.564906,-81.579597,5.870039215686274
24,2025-01-15,East 152nd and Darwin,41.564906,-81.579597,6.7778679245283024
24,2025-01-16,East 152nd and Darwin,41.564906,-81.579597,20.716744680851065
24,2025-01-17,East 152nd and Darwin,41.564906,-81.579597,27.153490566037735
24,2025-01-18,East 152nd and Darwin,41.564906,-81.579597,7.337553571428571
24,2025-01-19,East 152nd and Darwin,41.564906,-81.579597,1.9837222222222224
24,2025-01-20,East 152nd and Darwin,41.564906,-81.579597,3.452078431372549
24,2025-01-21,East 152nd and Darwin,41.564906,-81.579597,3.683803921568628
24,2025-01-22,East 152nd and Darwin,41.564906,-81.579597,3.042061224489796
24,2025-01-23,East 152nd and Darwin,41.564906,-81.579597,9.197918367346938
24,2025-01-24,East 152nd and Darwin,41.564906,-81.579597,5.864019230769231
24,2025-01-25,East 152nd and Darwin,41.564906,-81.579597,11.096571428571428
24,2025-01-26,East 152nd and Darwin,41.564906,-81.579597,8.856839285714285
24,2025-01-27,East 152nd and Darwin,41.564906,-81.579597,4.917666666666666
24,2025-01-28,East 152nd and Darwin,41.564906,-81.579597,4.039673469387755
24,2025-01-29,East 152nd and Darwin,41.564906,-81.579597,3.8952982456140353
24,2025-01-30,East 152nd and Darwin,41.564906,-81.579597,6.114333333333334
24,2025-01-31,East 152nd and Darwin,41.564906,-81.579597,7.162023809523809
24,2025-02-01,East 152nd and Darwin,41.564906,-81.579597,7.1200625
24,2025-02-02,East 152nd and Darwin,41.564906,-81.579597,4.339434782608696
24,2025-02-03,East 152nd and Darwin,41.564906,-81.579597,12.65895238095238
24,2025-02-04,East 152nd and Darwin,41.564906,-81.579597,12.054422222222223
24,2025-02-05,East 152nd and Darwin,41.564906,-81.579597,2.595618181818182
24,2025-02-06,East 152nd and Darwin,41.564906,-81.579597,14.3575
24,2025-02-07,East 152nd and Darwin,41.564906,-81.579597,5.068296296296297
24,2025-02-08,East 152nd and Darwin,41.564906,-81.579597,9.540236363636364
24,2025-02-09,East 152nd and Darwin,41.564906,-81.579597,12.240225806451612
24,2025-02-10,East 152nd and Darwin,41.564906,-81.579597,7.442074074074074
24,2025-02-11,East 152nd and Darwin,41.564906,-81.579597,18.00129411764706
24,2025-02-12,East 152nd and Darwin,41.564906,-81.579597,22.94681818181818
24,2025-02-13,East 152nd and Darwin,41.564906,-81.579597,14.527263157894739
24,2025-02-14,East 152nd and Darwin,41.564906,-81.579597,8.333654545454547
24,2025-02-15,East 152nd and Darwin,41.564906,-81.579597,11.583257142857143
24,2025-02-17,East 152nd and Darwin,41.564906,-81.579597,3.178
