Device #,Date,Concentration measurements,Latitude,Longitude
23,2024-12-02,12.164327272727272,41.449672,-81.564
23,2024-12-03,15.579763636363637,41.449672,-81.564
23,2024-12-04,13.704773584905661,41.449672,-81.564
23,2024-12-05,7.323320754716981,41.449672,-81.564
23,2024-12-06,11.231946428571426,41.449672,-81.564
23,2024-12-07,4.1675892857142856,41.449672,-81.564
23,2024-12-08,6.603641509433962,41.449672,-81.564
23,2024-12-09,7.570188679245283,41.449672,-81.564
23,2024-12-10,48.40334693877551,41.449672,-81.564
24,2024-12-01,6.351418181818182,41.564906,-81.579597
24,2024-12-02,11.087490566037737,41.564906,-81.579597
24,2024-12-03,11.847,41.564906,-81.579597
24,2024-12-04,12.230490196078431,41.564906,-81.579597
24,2024-12-05,5.960527272727273,41.564906,-81.579597
24,2024-12-06,2.959622641509434,41.564906,-81.579597
24,2024-12-07,3.836962962962963,41.564906,-81.579597
24,2024-12-08,6.091433962264151,41.564906,-81.579597
24,2024-12-09,8.609107142857143,41.564906,-81.579597
24,2024-12-10,39.782471698113206,41.564906,-81.579597
25,2024-12-01,5.5776176470588235,41.46717,-81.63003
25,2024-12-02,9.760521739130434,41.46717,-81.63003
25,2024-12-03,16.809266666666666,41.46717,-81.63003
25,2024-12-04,13.93404347826087,41.46717,-81.63003
25,2024-12-05,7.42025806451613,41.46717,-81.63003
25,2024-12-06,4.286352941176471,41.46717,-81.63003
25,2024-12-07,4.599695652173914,41.46717,-81.63003
25,2024-12-08,6.773359999999999,41.46717,-81.63003
25,2024-12-09,6.370833333333334,41.46717,-81.63003
25,2024-12-10,29.081333333333333,41.46717,-81.63003
27,2024-12-01,6.406145833333333,41.50541,-81.66791
27,2024-12-02,9.928315789473684,41.50541,-81.66791
27,2024-12-03,14.700349999999998,41.50541,-81.66791
27,2024-12-04,13.96,41.50541,-81.66791
27,2024-12-05,5.841555555555555,41.50541,-81.66791
27,2024-12-06,3.0708205128205126,41.50541,-81.66791
27,2024-12-07,4.641947368421053,41.50541,-81.66791
27,2024-12-08,6.559128205128205,41.50541,-81.66791
27,2024-12-09,8.586894736842105,41.50541,-81.66791
27,2024-12-10,23.568142857142856,41.50541,-81.66791
28,2024-12-04,16.10023076923077,41.46308,-81.69823
28,2024-12-05,6.808076923076923,41.46308,-81.69823
28,2024-12-06,5.1601960784313725,41.46308,-81.69823
28,2024-12-07,5.101375,41.46308,-81.69823
28,2024-12-08,7.208296296296297,41.46308,-81.69823
28,2024-12-09,9.9180625,41.46308,-81.69823
28,2024-12-10,44.219159999999995,41.46308,-81.69823
30,2024-12-01,6.512833333333333,41.47473,-81.72846
30,2024-12-02,9.941972972972973,41.47473,-81.72846
30,2024-12-03,15.992632653061225,41.47473,-81.72846
30,2024-12-04,13.427448979591837,41.47473,-81.72846
30,2024-12-05,7.501351351351351,41.47473,-81.72846
30,2024-12-06,4.893166666666667,41.47473,-81.72846
30,2024-12-07,4.52163829787234,41.47473,-81.72846
30,2024-12-08,6.733333333333333,41.47473,-81.72846
30,2024-12-09,7.99828,41.47473,-81.72846
30,2024-12-10,41.96270909090909,41.47473,-81.72846
