"device_number","time","value"
24,2025-01-10 11:41:38.657,11.102
24,2025-01-10 11:11:38.65,13.428
24,2025-01-10 10:41:38.621,15.035
24,2025-01-10 10:11:38.611,13.52
24,2025-01-10 09:41:38.612,12.01
24,2025-01-10 09:19:27.96,13.738
24,2025-01-10 09:11:38.701,13.738
24,2025-01-10 08:41:38.727,15.341
24,2025-01-10 08:11:38.709,14.205
24,2025-01-10 07:41:38.7,7.344
24,2025-01-10 07:11:38.704,12.523
24,2025-01-10 06:41:38.652,10.625
24,2025-01-10 06:11:38.644,11.025
24,2025-01-10 06:06:46.384,8.818
24,2025-01-10 05:41:38.635,8.818
24,2025-01-10 05:11:38.698,6.817
24,2025-01-10 04:41:47.268,6.84
24,2025-01-10 04:11:47.266,7.423
24,2025-01-10 03:41:47.254,11.356
24,2025-01-10 03:11:47.252,3.856
24,2025-01-10 02:41:47.253,3.848
24,2025-01-10 02:39:17.998,3.072
24,2025-01-10 02:38:03.792,3.072
24,2025-01-10 02:11:38.529,3.072
24,2025-01-10 01:41:38.509,11.646
24,2025-01-10 00:41:38.677,2.793
24,2025-01-10 00:11:38.656,2
24,2025-01-09 23:41:38.647,2.066
24,2025-01-09 23:35:39.412,3.859
24,2025-01-09 23:11:38.68,3.859
24,2025-01-09 22:41:38.665,4.128
24,2025-01-09 22:11:38.703,3.077
24,2025-01-09 21:41:38.704,1.859
24,2025-01-09 21:11:38.696,1.378
24,2025-01-09 20:41:38.717,0.657
24,2025-01-09 20:17:16.974,0.606
24,2025-01-09 19:41:47.388,5.019
24,2025-01-09 19:11:47.422,2.075
24,2025-01-09 18:41:47.439,1.805
24,2025-01-09 18:11:47.437,2.128
24,2025-01-09 17:41:47.631,1.837
24,2025-01-09 17:07:02.491,4.668
24,2025-01-09 17:03:27.251,4.668
24,2025-01-09 16:33:27.256,0.813
24,2025-01-09 16:03:27.277,3.8
24,2025-01-09 15:33:27.3,1.91
24,2025-01-09 15:03:27.303,1.134
24,2025-01-09 14:33:27.316,2.81
24,2025-01-09 14:03:27.314,7.521
24,2025-01-09 13:42:03.055,1.497
24,2025-01-09 13:33:27.315,1.497
24,2025-01-09 13:03:27.322,1.293
24,2025-01-09 12:33:27.36,0.688
24,2025-01-09 12:03:35.959,4.239
24,2025-01-09 11:33:35.994,1.753
24,2025-01-09 11:03:35.992,2.02
24,2025-01-09 10:33:36.002,0.949
24,2025-01-09 10:15:08.726,1.461
24,2025-01-09 10:03:27.189,1.461
24,2025-01-09 09:33:27.206,2.757
24,2025-01-09 09:03:27.222,1.36
24,2025-01-09 08:03:27.237,6.253
24,2025-01-09 07:33:27.206,3.565
24,2025-01-09 07:02:30.346,1.926
24,2025-01-09 06:33:27.256,1.926
24,2025-01-09 06:03:27.236,0.995
24,2025-01-09 05:33:27.265,2.302
24,2025-01-09 04:33:27.253,2.724
24,2025-01-09 04:03:27.265,3.233
24,2025-01-09 03:51:41.015,3.579
24,2025-01-09 03:33:27.291,3.579
24,2025-01-09 03:03:27.278,2.158
24,2025-01-09 02:33:27.292,1.583
24,2025-01-09 02:03:27.312,3.515
24,2025-01-09 01:33:27.315,1.407
24,2025-01-09 01:03:27.341,1.506
24,2025-01-09 00:49:42.746,1.193
24,2025-01-09 00:33:27.342,1.193
24,2025-01-09 00:03:27.352,1.005
24,2025-01-08 23:33:27.375,1.197
24,2025-01-08 23:03:27.416,2.149
24,2025-01-08 22:33:27.398,3.511
24,2025-01-08 22:03:27.392,1.069
24,2025-01-08 21:33:27.415,1.156
24,2025-01-08 21:30:58.415,1.604
24,2025-01-08 21:03:27.445,1.604
24,2025-01-08 20:33:27.431,5.352
24,2025-01-08 20:03:27.439,1.605
24,2025-01-08 19:33:27.447,1.095
24,2025-01-08 19:03:27.463,2.513
24,2025-01-08 18:33:27.537,3.51
24,2025-01-08 18:15:51.166,2.824
24,2025-01-08 18:03:34.523,2.824
24,2025-01-08 17:33:27.501,2.271
24,2025-01-08 17:03:27.532,3.641
24,2025-01-08 16:33:34.532,1.513
24,2025-01-08 16:03:27.564,2.22
24,2025-01-08 15:33:34.577,3.088
24,2025-01-08 15:03:27.548,0.49
24,2025-01-08 14:49:43.882,1.898
24,2025-01-08 14:33:27.565,1.898
24,2025-01-08 14:03:27.581,1.413
24,2025-01-08 13:33:27.586,1.164
24,2025-01-08 13:03:27.597,1.76
24,2025-01-08 12:33:27.609,1.539
24,2025-01-08 12:03:27.618,1.32
24,2025-01-08 11:43:59.512,1.321
24,2025-01-08 11:33:27.719,1.321
24,2025-01-08 11:03:27.716,2.779
24,2025-01-08 10:33:27.71,0.852
24,2025-01-08 10:03:27.735,0.997
24,2025-01-08 09:33:27.739,1.119
24,2025-01-08 08:33:27.807,0.963
24,2025-01-08 08:26:44.251,2.007
24,2025-01-08 08:03:27.807,2.007
24,2025-01-08 07:33:27.804,1.722
24,2025-01-08 07:03:38.829,0.556
24,2025-01-08 06:33:27.831,1.597
24,2025-01-08 06:03:27.839,3.473
24,2025-01-08 05:33:27.857,0.817
24,2025-01-08 05:18:47.91,5.857
24,2025-01-08 05:03:27.873,5.857
24,2025-01-08 04:33:27.931,3.929
24,2025-01-08 04:03:27.937,5.663
24,2025-01-08 03:33:27.934,5.066
24,2025-01-08 03:03:27.922,4.077
24,2025-01-08 02:33:27.952,1.707
24,2025-01-08 02:03:28.053,2.522
24,2025-01-08 01:54:01.636,3.628
24,2025-01-08 01:33:28.105,3.628
24,2025-01-08 01:03:28.119,1.939
24,2025-01-08 00:33:28.137,1.597
24,2025-01-08 00:03:28.151,3.653
24,2025-01-07 23:33:28.166,1.099
24,2025-01-07 23:03:28.201,1.027
24,2025-01-07 22:49:29.218,2.612
24,2025-01-07 22:33:28.236,2.612
24,2025-01-07 22:03:28.248,0.915
24,2025-01-07 21:33:43.879,2.594
24,2025-01-07 21:03:43.893,1.692
24,2025-01-07 20:33:43.935,1.067
24,2025-01-07 20:03:43.96,1.431
24,2025-01-07 19:33:43.955,0.596
24,2025-01-07 19:25:23.988,0.605
24,2025-01-07 19:24:13.769,0.605
24,2025-01-07 19:03:28.221,0.605
24,2025-01-07 18:33:28.259,3.537
24,2025-01-07 18:03:28.258,0.858
24,2025-01-07 17:33:28.288,2.3
24,2025-01-07 17:03:28.318,2.231
24,2025-01-07 16:33:28.354,0.549
24,2025-01-07 16:03:28.341,1.307
24,2025-01-07 15:54:11.505,9.342
24,2025-01-07 15:33:28.377,9.342
24,2025-01-07 15:03:28.421,2.672
24,2025-01-07 14:33:28.39,1.017
24,2025-01-07 14:03:29.086,0.919
24,2025-01-07 13:33:28.418,1.87
24,2025-01-07 13:03:28.424,1.101
24,2025-01-07 12:50:47.228,1.023
24,2025-01-07 12:33:28.435,1.023
24,2025-01-07 12:03:28.434,3.128
24,2025-01-07 11:33:28.485,1.933
24,2025-01-07 11:03:28.454,1.368
24,2025-01-07 10:33:28.465,1.598
24,2025-01-07 10:03:28.489,1.236
24,2025-01-07 09:43:58.92,1.753
24,2025-01-07 08:46:31.741,1.753
24,2025-01-07 08:16:31.714,1.973
24,2025-01-07 07:46:31.659,0.551
24,2025-01-07 07:16:31.62,0.813
24,2025-01-07 06:46:31.583,4.215
24,2025-01-07 05:46:31.535,1.54
24,2025-01-07 05:40:13.538,2.769
24,2025-01-07 04:46:31.469,2.879
24,2025-01-07 04:16:31.434,2.305
24,2025-01-07 03:46:31.414,5.543
24,2025-01-07 03:16:31.388,2.963
24,2025-01-07 02:46:31.347,2.589
24,2025-01-07 02:17:59.821,1.383
24,2025-01-07 01:46:31.35,4.31
24,2025-01-07 00:46:31.291,2.967
24,2025-01-07 00:16:31.246,2.369
24,2025-01-06 23:46:31.249,2.908
24,2025-01-06 23:16:31.189,8.124
24,2025-01-06 23:10:24.073,2.057
24,2025-01-06 22:46:31.136,2.057
24,2025-01-06 22:16:39.308,4.458
24,2025-01-06 21:46:39.694,2.739
24,2025-01-06 21:16:39.686,5.055
24,2025-01-06 20:46:39.638,8.468
24,2025-01-06 20:16:39.6,4.749
24,2025-01-06 19:54:58.454,6.382
24,2025-01-06 19:52:48.012,6.382
24,2025-01-06 19:46:30.745,6.382
24,2025-01-06 19:16:30.697,4.401
24,2025-01-06 18:46:30.648,3.133
24,2025-01-06 18:16:30.603,3.294
24,2025-01-06 17:46:13.163,7.131
24,2025-01-06 17:16:13.181,9.49
24,2025-01-06 16:51:26.055,5.499
24,2025-01-06 15:46:13.1,7.661
24,2025-01-06 15:16:13.062,7.503
24,2025-01-06 14:46:13.04,5.384
24,2025-01-06 14:16:13.097,11.05
24,2025-01-06 13:46:12.941,7.02
24,2025-01-06 13:37:40.534,11.173
24,2025-01-06 13:16:12.906,11.173
24,2025-01-06 12:46:12.85,8.537
24,2025-01-06 12:16:19.807,4.61
24,2025-01-06 11:46:12.755,14.455
24,2025-01-06 11:16:19.723,17.943
24,2025-01-06 10:46:12.64,7.306
24,2025-01-06 10:24:33.896,4.996
24,2025-01-06 10:16:12.608,4.996
24,2025-01-06 09:46:12.602,4.092
24,2025-01-06 09:16:12.583,6.397
24,2025-01-06 08:46:12.585,6.589
24,2025-01-06 08:16:12.599,6.728
24,2025-01-06 07:46:12.749,4.642
24,2025-01-06 07:16:12.583,6.951
24,2025-01-06 07:04:57.52,6.358
24,2025-01-06 06:46:12.551,6.358
24,2025-01-06 06:16:12.539,7.394
24,2025-01-06 05:46:12.579,8.333
24,2025-01-06 05:16:12.569,8.405
24,2025-01-06 04:46:12.535,7.161
24,2025-01-06 04:16:12.553,7.601
24,2025-01-06 03:51:05.119,5.466
24,2025-01-06 03:46:12.528,5.466
24,2025-01-06 03:16:12.593,6.22
24,2025-01-06 02:46:12.593,8.297
24,2025-01-06 02:16:12.585,8.25
24,2025-01-06 01:46:12.576,12.115
24,2025-01-06 01:16:12.591,8.855
24,2025-01-06 00:46:12.591,7.888
24,2025-01-06 00:38:47.769,9.815
24,2025-01-06 00:16:12.604,9.815
24,2025-01-05 23:46:12.58,8.56
24,2025-01-05 23:16:12.557,9.579
24,2025-01-05 22:16:12.548,8.276
24,2025-01-05 21:46:12.54,4.532
24,2025-01-05 21:16:12.666,7.533
24,2025-01-05 21:10:40.354,4.102
24,2025-01-05 20:46:12.528,4.102
24,2025-01-05 20:16:12.571,6.231
24,2025-01-05 19:46:12.527,4.256
24,2025-01-05 19:16:12.519,2.038
24,2025-01-05 18:46:12.523,8.728
24,2025-01-05 18:16:12.524,8.181
24,2025-01-05 17:46:19.557,5.539
24,2025-01-05 17:44:57.871,4.576
24,2025-01-05 17:16:19.63,4.576
24,2025-01-05 16:46:12.653,6.645
24,2025-01-05 16:16:12.614,13.085
24,2025-01-05 15:46:12.612,8.018
24,2025-01-05 15:16:12.6,4.642
24,2025-01-05 14:46:12.584,7.748
24,2025-01-05 14:19:52.258,9.921
24,2025-01-05 14:16:12.579,9.921
24,2025-01-05 13:46:12.52,9.765
24,2025-01-05 13:16:28.159,8.093
24,2025-01-05 12:46:28.118,7.195
24,2025-01-05 12:16:28.086,8.705
24,2025-01-05 11:46:28.058,8.146
24,2025-01-05 11:16:28.039,9.016
24,2025-01-05 11:13:56.712,4.73
24,2025-01-05 11:13:04.352,4.73
