"location_name","latitude","longitude","device_number","device_eui","time","measure_name","value","Date"
"GT Craig EPA Collocated Sensor",41.49211,-81.67856,9,"0004A30B000864E5",2024-12-10 20:29:24.95,"mc_pm2_5",39.462,2024-12-10
"Metro Health Hospital",41.46308,-81.69823,28,"0004A30B00086AC2",2024-12-10 20:27:05.563,"mc_pm2_5",60.105,2024-12-10
"East 152nd and Darwin",41.564906,-81.579597,24,"0004A30B000824D7",2024-12-10 20:24:47.412,"mc_pm2_5",58.028,2024-12-10
"Lakeview Terrace Community Center",41.49409,-81.70976,12,"0004A30B00085A7A",2024-12-10 20:19:43.938,"mc_pm2_5",60.737,2024-12-10
"Cudell Recreation Center",41.47918,-81.75257,18,"0004A30B00088CBC",2024-12-10 20:18:28.269,"mc_pm2_5",78.975,2024-12-10
"Michael Zone Recreation Center",41.47473,-81.72846,30,"0004A30B0008173D",2024-12-10 20:18:18.495,"mc_pm2_5",59.098,2024-12-10
"Coit Road and East 131st Street",41.552492,-81.591944,15,"0004A30B00085FFB",2024-12-10 20:09:44.649,"mc_pm2_5",45.959,2024-12-10
"Cudell Recreation Center",41.47918,-81.75257,18,"0004A30B00088CBC",2024-12-10 20:08:35.647,"mc_pm2_5",78.975,2024-12-10
"Collinwood Recreation Center",41.57947,-81.56615,2,"0004A30B00084BC5",2024-12-10 20:07:48.392,"mc_pm2_5",44.628,2024-12-10
"East 152nd and Darwin",41.564906,-81.579597,24,"0004A30B000824D7",2024-12-10 20:05:16.356,"mc_pm2_5",66.129,2024-12-10
"Nottingham Water",41.575635,-81.541699,3,"0004A30B00081BFE",2024-12-10 20:02:36.255,"mc_pm2_5",28.036,2024-12-10
"Metro Health Hospital",41.46308,-81.69823,28,"0004A30B00086AC2",2024-12-10 19:57:05.515,"mc_pm2_5",82.099,2024-12-10
"East 152nd and Darwin",41.564906,-81.579597,24,"0004A30B000824D7",2024-12-10 19:54:47.174,"mc_pm2_5",66.129,2024-12-10
"Lakeview Terrace Community Center",41.49409,-81.70976,12,"0004A30B00085A7A",2024-12-10 19:49:43.964,"mc_pm2_5",58.971,2024-12-10
"Lee/Harvard",41.449672,-81.564,23,"0004A30B000818DE",2024-12-10 19:46:54.748,"mc_pm2_5",118.927,2024-12-10
"Nottingham Road near Railroad Tracks",41.569957,-81.541194,20,"0004A30B00082428",2024-12-10 19:46:27.923,"mc_pm2_5",39.681,2024-12-10
"Coit Road and East 131st Street",41.552492,-81.591944,15,"0004A30B00085FFB",2024-12-10 19:39:44.663,"mc_pm2_5",59.596,2024-12-10
"Cudell Recreation Center",41.47918,-81.75257,18,"0004A30B00088CBC",2024-12-10 19:38:35.689,"mc_pm2_5",54.264,2024-12-10
"St. Theodosius Monitoring Site Collocated Sensor",41.476985,-81.682376,7,"0004A30B00084474",2024-12-10 19:33:01.847,"mc_pm2_5",49.44,2024-12-10
"Nottingham Water",41.575635,-81.541699,3,"0004A30B00081BFE",2024-12-10 19:32:36.239,"mc_pm2_5",32.133,2024-12-10
"Michael Zone Recreation Center",41.47473,-81.72846,30,"0004A30B0008173D",2024-12-10 19:31:52.652,"mc_pm2_5",92.645,2024-12-10
"Michael Zone Recreation Center",41.47473,-81.72846,30,"0004A30B0008173D",2024-12-10 19:27:41.208,"mc_pm2_5",62.401,2024-12-10
"Metro Health Hospital",41.46308,-81.69823,28,"0004A30B00086AC2",2024-12-10 19:27:05.58,"mc_pm2_5",48.425,2024-12-10
"East 152nd and Darwin",41.564906,-81.579597,24,"0004A30B000824D7",2024-12-10 19:24:46.964,"mc_pm2_5",79.904,2024-12-10
"Michael Zone Recreation Center",41.47473,-81.72846,30,"0004A30B0008173D",2024-12-10 19:23:50.241,"mc_pm2_5",62.401,2024-12-10
"Nottingham Road near Railroad Tracks",41.569957,-81.541194,20,"0004A30B00082428",2024-12-10 19:23:27.31,"mc_pm2_5",46.412,2024-12-10
"Lakeview Terrace Community Center",41.49409,-81.70976,12,"0004A30B00085A7A",2024-12-10 19:19:44.009,"mc_pm2_5",36.368,2024-12-10
